employee_id,score,pillar_code,year
100000,2.0,GDR,2021
100001,3.3028793097682505,GDR,2021
100002,1.0,GDR,2021
100003,3.3028793097682505,GDR,2021
100004,3.0,GDR,2021
100005,2.0,GDR,2021
100006,4.0,GDR,2021
100007,4.0,GDR,2021
100008,5.0,GDR,2021
100009,4.0,GDR,2021
100010,2.0,GDR,2021
100011,3.0,GDR,2021
100012,3.3028793097682505,GDR,2021
100013,3.3028793097682505,GDR,2021
100014,1.0,GDR,2021
100015,2.0,GDR,2021
100016,2.0,GDR,2021
100017,3.0,GDR,2021
100018,3.0,GDR,2021
100019,4.0,GDR,2021
100020,3.3028793097682505,GDR,2021
100021,5.0,GDR,2021
100022,4.0,GDR,2021
100023,3.0,GDR,2021
100024,3.0,GDR,2021
100025,3.3028793097682505,GDR,2021
100026,3.3028793097682505,GDR,2021
100027,5.0,GDR,2021
100028,3.3028793097682505,GDR,2021
100029,3.0,GDR,2021
100030,1.0,GDR,2021
100031,3.3028793097682505,GDR,2021
100032,2.0,GDR,2021
100033,2.0,GDR,2021
100034,4.0,GDR,2021
100035,3.0,GDR,2021
100036,3.0,GDR,2021
100037,2.0,GDR,2021
100038,4.0,GDR,2021
100039,4.0,GDR,2021
100040,1.0,GDR,2021
100041,1.0,GDR,2021
100042,1.0,GDR,2021
100043,5.0,GDR,2021
100044,3.3028793097682505,GDR,2021
100045,2.0,GDR,2021
100046,3.0,GDR,2021
100047,3.0,GDR,2021
100048,2.0,GDR,2021
100049,5.0,GDR,2021
100050,2.0,GDR,2021
100051,4.0,GDR,2021
100052,3.3028793097682505,GDR,2021
100053,5.0,GDR,2021
100054,3.3028793097682505,GDR,2021
100055,5.0,GDR,2021
100056,5.0,GDR,2021
100057,3.3028793097682505,GDR,2021
100058,4.0,GDR,2021
100059,1.0,GDR,2021
100060,3.0,GDR,2021
100061,2.0,GDR,2021
100062,3.0,GDR,2021
100063,5.0,GDR,2021
100064,4.0,GDR,2021
100065,4.0,GDR,2021
100066,3.0,GDR,2021
100067,3.3028793097682505,GDR,2021
100068,2.0,GDR,2021
100069,2.0,GDR,2021
100070,4.0,GDR,2021
100071,3.0,GDR,2021
100072,1.0,GDR,2021
100073,2.0,GDR,2021
100074,5.0,GDR,2021
100075,3.0,GDR,2021
100076,3.3028793097682505,GDR,2021
100077,2.0,GDR,2021
100078,5.0,GDR,2021
100079,3.3028793097682505,GDR,2021
100080,4.0,GDR,2021
100081,4.0,GDR,2021
100082,4.0,GDR,2021
100083,3.3028793097682505,GDR,2021
100084,3.3028793097682505,GDR,2021
100085,3.3028793097682505,GDR,2021
100086,3.3028793097682505,GDR,2021
100087,3.3028793097682505,GDR,2021
100088,4.0,GDR,2021
100089,4.0,GDR,2021
100090,4.0,GDR,2021
100091,3.3028793097682505,GDR,2021
100092,3.0,GDR,2021
100093,1.0,GDR,2021
100094,1.0,GDR,2021
100095,2.0,GDR,2021
100096,3.0,GDR,2021
100097,2.0,GDR,2021
100098,4.0,GDR,2021
100099,2.0,GDR,2021
100100,4.0,GDR,2021
100101,5.0,GDR,2021
100102,3.3028793097682505,GDR,2021
100103,4.0,GDR,2021
100104,3.3028793097682505,GDR,2021
100105,3.3028793097682505,GDR,2021
100106,4.0,GDR,2021
100107,4.0,GDR,2021
100108,4.0,GDR,2021
100109,4.0,GDR,2021
100110,2.0,GDR,2021
100111,3.0,GDR,2021
100112,5.0,GDR,2021
100113,4.0,GDR,2021
100114,3.3028793097682505,GDR,2021
100115,1.0,GDR,2021
100116,1.0,GDR,2021
100117,4.0,GDR,2021
100118,4.0,GDR,2021
100119,6.0,GDR,2021
100120,3.0,GDR,2021
100121,4.0,GDR,2021
100122,3.3028793097682505,GDR,2021
100123,1.0,GDR,2021
100124,4.0,GDR,2021
100125,3.3028793097682505,GDR,2021
100126,2.0,GDR,2021
100127,3.0,GDR,2021
100128,1.0,GDR,2021
100129,3.3028793097682505,GDR,2021
100130,4.0,GDR,2021
100131,3.0,GDR,2021
100132,1.0,GDR,2021
100133,1.0,GDR,2021
100134,2.0,GDR,2021
100135,3.3028793097682505,GDR,2021
100136,2.0,GDR,2021
100137,3.3028793097682505,GDR,2021
100138,2.0,GDR,2021
100139,3.3028793097682505,GDR,2021
100140,3.0,GDR,2021
100141,3.0,GDR,2021
100142,3.0,GDR,2021
100143,3.3028793097682505,GDR,2021
100144,3.3028793097682505,GDR,2021
100145,3.0,GDR,2021
100146,3.0,GDR,2021
100147,3.3028793097682505,GDR,2021
100148,99.0,GDR,2021
100149,3.0,GDR,2021
100150,3.0,GDR,2021
100151,1.0,GDR,2021
100152,4.0,GDR,2021
100153,3.0,GDR,2021
100154,2.0,GDR,2021
100155,4.0,GDR,2021
100156,2.0,GDR,2021
100157,3.3028793097682505,GDR,2021
100158,3.3028793097682505,GDR,2021
100159,1.0,GDR,2021
100160,4.0,GDR,2021
100161,1.0,GDR,2021
100162,4.0,GDR,2021
100163,4.0,GDR,2021
100164,4.0,GDR,2021
100165,3.3028793097682505,GDR,2021
100166,2.0,GDR,2021
100167,3.3028793097682505,GDR,2021
100168,3.0,GDR,2021
100169,3.0,GDR,2021
100170,4.0,GDR,2021
100171,3.3028793097682505,GDR,2021
100172,3.3028793097682505,GDR,2021
100173,2.0,GDR,2021
100174,1.0,GDR,2021
100175,2.0,GDR,2021
100176,3.3028793097682505,GDR,2021
100177,3.3028793097682505,GDR,2021
100178,3.0,GDR,2021
100179,4.0,GDR,2021
100180,1.0,GDR,2021
100181,3.0,GDR,2021
100182,3.0,GDR,2021
100183,3.3028793097682505,GDR,2021
100184,3.3028793097682505,GDR,2021
100185,2.0,GDR,2021
100186,4.0,GDR,2021
100187,2.0,GDR,2021
100188,3.3028793097682505,GDR,2021
100189,3.0,GDR,2021
100190,1.0,GDR,2021
100191,2.0,GDR,2021
100192,1.0,GDR,2021
100193,4.0,GDR,2021
100194,2.0,GDR,2021
100195,2.0,GDR,2021
100196,2.0,GDR,2021
100197,3.3028793097682505,GDR,2021
100198,3.0,GDR,2021
100199,3.0,GDR,2021
100200,3.0,GDR,2021
100201,3.0,GDR,2021
100202,3.0,GDR,2021
100203,1.0,GDR,2021
100204,4.0,GDR,2021
100205,3.3028793097682505,GDR,2021
100206,2.0,GDR,2021
100207,5.0,GDR,2021
100208,3.3028793097682505,GDR,2021
100209,4.0,GDR,2021
100210,5.0,GDR,2021
100211,3.3028793097682505,GDR,2021
100212,3.3028793097682505,GDR,2021
100213,1.0,GDR,2021
100214,3.3028793097682505,GDR,2021
100215,4.0,GDR,2021
100216,3.3028793097682505,GDR,2021
100217,1.0,GDR,2021
100218,5.0,GDR,2021
100219,3.3028793097682505,GDR,2021
100220,3.0,GDR,2021
100221,3.3028793097682505,GDR,2021
100222,3.0,GDR,2021
100223,3.3028793097682505,GDR,2021
100224,2.0,GDR,2021
100225,4.0,GDR,2021
100226,3.3028793097682505,GDR,2021
100227,5.0,GDR,2021
100228,4.0,GDR,2021
100229,3.3028793097682505,GDR,2021
100230,3.0,GDR,2021
100231,3.3028793097682505,GDR,2021
100232,2.0,GDR,2021
100233,4.0,GDR,2021
100234,3.3028793097682505,GDR,2021
100235,3.3028793097682505,GDR,2021
100236,3.3028793097682505,GDR,2021
100237,3.0,GDR,2021
100238,1.0,GDR,2021
100239,3.3028793097682505,GDR,2021
100240,3.3028793097682505,GDR,2021
100241,3.0,GDR,2021
100242,5.0,GDR,2021
100243,3.0,GDR,2021
100244,4.0,GDR,2021
100245,4.0,GDR,2021
100246,4.0,GDR,2021
100247,4.0,GDR,2021
100248,3.3028793097682505,GDR,2021
100249,3.0,GDR,2021
100250,5.0,GDR,2021
100251,3.0,GDR,2021
100252,3.0,GDR,2021
100253,5.0,GDR,2021
100254,3.0,GDR,2021
100255,5.0,GDR,2021
100256,3.0,GDR,2021
100257,3.0,GDR,2021
100258,3.3028793097682505,GDR,2021
100259,4.0,GDR,2021
100260,3.0,GDR,2021
100261,3.0,GDR,2021
100262,2.0,GDR,2021
100263,3.0,GDR,2021
100264,4.0,GDR,2021
100265,3.3028793097682505,GDR,2021
100266,1.0,GDR,2021
100267,4.0,GDR,2021
100268,2.0,GDR,2021
100269,4.0,GDR,2021
100270,2.0,GDR,2021
100271,5.0,GDR,2021
100272,1.0,GDR,2021
100273,1.0,GDR,2021
100274,2.0,GDR,2021
100275,1.0,GDR,2021
100276,3.0,GDR,2021
100277,3.3028793097682505,GDR,2021
100278,4.0,GDR,2021
100279,3.0,GDR,2021
100280,2.0,GDR,2021
100281,3.0,GDR,2021
100282,4.0,GDR,2021
100283,2.0,GDR,2021
100284,4.0,GDR,2021
100285,3.3028793097682505,GDR,2021
100286,2.0,GDR,2021
100287,3.3028793097682505,GDR,2021
100288,2.0,GDR,2021
100289,3.3028793097682505,GDR,2021
100290,3.3028793097682505,GDR,2021
100291,3.3028793097682505,GDR,2021
100292,3.3028793097682505,GDR,2021
100293,3.0,GDR,2021
100294,3.0,GDR,2021
100295,3.0,GDR,2021
100296,4.0,GDR,2021
100297,2.0,GDR,2021
100298,5.0,GDR,2021
100299,3.3028793097682505,GDR,2021
100300,4.0,GDR,2021
100301,2.0,GDR,2021
100302,3.3028793097682505,GDR,2021
100303,2.0,GDR,2021
100304,4.0,GDR,2021
100305,4.0,GDR,2021
100306,4.0,GDR,2021
100307,1.0,GDR,2021
100308,4.0,GDR,2021
100309,3.0,GDR,2021
100310,3.0,GDR,2021
100311,4.0,GDR,2021
100312,3.3028793097682505,GDR,2021
100313,4.0,GDR,2021
100314,3.3028793097682505,GDR,2021
100315,3.0,GDR,2021
100316,3.0,GDR,2021
100317,1.0,GDR,2021
100318,3.0,GDR,2021
100319,5.0,GDR,2021
100320,2.0,GDR,2021
100321,3.0,GDR,2021
100322,5.0,GDR,2021
100323,3.3028793097682505,GDR,2021
100324,3.3028793097682505,GDR,2021
100325,2.0,GDR,2021
100326,5.0,GDR,2021
100327,3.3028793097682505,GDR,2021
100328,5.0,GDR,2021
100329,3.0,GDR,2021
100330,3.3028793097682505,GDR,2021
100331,3.0,GDR,2021
100332,5.0,GDR,2021
100333,4.0,GDR,2021
100334,4.0,GDR,2021
100335,5.0,GDR,2021
100336,2.0,GDR,2021
